03.MMHAP34FRA.seq	DNA segment, 03.MMHAP34FRA.seq
D12Mit222	DNA segment, Chr 12, Massachusetts Institute of Technology 222
D12Mit226	DNA segment, Chr 12, Massachusetts Institute of Technology 226
D12Mit227	DNA segment, Chr 12, Massachusetts Institute of Technology 227
D12Mit228	DNA segment, Chr 12, Massachusetts Institute of Technology 228
D12Mit230	DNA segment, Chr 12, Massachusetts Institute of Technology 230
D12Mit231	DNA segment, Chr 12, Massachusetts Institute of Technology 231
D12Mit235	DNA segment, Chr 12, Massachusetts Institute of Technology 235
D12Mit236	DNA segment, Chr 12, Massachusetts Institute of Technology 236
D12Mit238	DNA segment, Chr 12, Massachusetts Institute of Technology 238
D12Mit239	DNA segment, Chr 12, Massachusetts Institute of Technology 239
D12Mit241	DNA Segment, Chr 12, Massachusetts Institute of Technology 241
D12Mit254	DNA Segment, Chr 12, Massachusetts Institute of Technology 254
D12Mit256	DNA Segment, Chr 12, Massachusetts Institute of Technology 256
D12Mit257	DNA Segment, Chr 12, Massachusetts Institute of Technology 257
D12Mit258	DNA Segment, Chr 12, Massachusetts Institute of Technology 258
D12Mit259	DNA Segment, Chr 12, Massachusetts Institute of Technology 259
D12Mit261	DNA Segment, Chr 12, Massachusetts Institute of Technology 261
D12Mit262	DNA Segment, Chr 12, Massachusetts Institute of Technology 262
D12Mit263	DNA Segment, Chr 12, Massachusetts Institute of Technology 263
D12Mit264	DNA segment, Chr 12, Massachusetts Institute of Technology 264
D12Mit266	DNA segment, Chr 12, Massachusetts Institute of Technology 266
D12Mit269	DNA segment, Chr 12, Massachusetts Institute of Technology 269
D12Mit274	DNA segment, Chr 12, Massachusetts Institute of Technology 274
D12Mit275	DNA segment, Chr 12, Massachusetts Institute of Technology 275
D12Mit279	DNA segment, Chr 12, Massachusetts Institute of Technology 279
D12Mit280	DNA segment, Chr 12, Massachusetts Institute of Technology 280
D12Mit283	DNA Segment, Chr 12, Massachusetts Institute of Technology 283
D12Mit284	DNA Segment, Chr 12, Massachusetts Institute of Technology 284
D12Mit285	DNA Segment, Chr 12, Massachusetts Institute of Technology 285
D12Mit288	DNA Segment, Chr 12, Massachusetts Institute of Technology 288
D12Mit36	DNA segment, Chr 12, Massachusetts Institute of Technology 36
D12Mit37	DNA segment, Chr 12, Massachusetts Institute of Technology 37
D12Mit4	DNA segment, Chr 12, Massachusetts Institute of Technology 4
D12Mit43	DNA segment, Chr 12, Massachusetts Institute of Technology 43
D12Mit49	DNA segment, Chr 12, Massachusetts Institute of Technology 49
D12Mit51	DNA segment, Chr 12, Massachusetts Institute of Technology 51
D12Mit54	DNA segment, Chr 12, Massachusetts Institute of Technology 54
D12Mit56	DNA segment, Chr 12, Massachusetts Institute of Technology 56
D12Mit6	DNA segment, Chr 12, Massachusetts Institute of Technology 6
D12Mit60	DNA segment, Chr 12, Massachusetts Institute of Technology 60
D12Mit61	DNA segment, Chr 12, Massachusetts Institute of Technology 61
D12Mit64	DNA segment, Chr 12, Massachusetts Institute of Technology 64
D12Mit66	DNA segment, Chr 12, Massachusetts Institute of Technology 66
D12Mit74	DNA segment, Chr 12, Massachusetts Institute of Technology 74
D12Mit76	DNA segment, Chr 12, Massachusetts Institute of Technology 76
D12Mit77	DNA segment, Chr 12, Massachusetts Institute of Technology 77
D12Mit8	DNA segment, Chr 12, Massachusetts Institute of Technology 8
D12Mit80	DNA segment, Chr 12, Massachusetts Institute of Technology 80
D12Mit81	DNA segment, Chr 12, Massachusetts Institute of Technology 81
D12Mit82	DNA segment, Chr 12, Massachusetts Institute of Technology 82
D12Mit83	DNA segment, Chr 12, Massachusetts Institute of Technology 83
D12Mit86	DNA segment, Chr 12, Massachusetts Institute of Technology 86
D12Mit87	DNA segment, Chr 12, Massachusetts Institute of Technology 87
D12Mit88	DNA segment, Chr 12, Massachusetts Institute of Technology 88
D12Mit92	DNA segment, Chr 12, Massachusetts Institute of Technology 92
D12Mit96	DNA segment, Chr 12, Massachusetts Institute of Technology 96
D12Mit97	DNA segment, Chr 12, Massachusetts Institute of Technology 97
D12Mit98	DNA segment, Chr 12, Massachusetts Institute of Technology 98
D12Mit99	DNA segment, Chr 12, Massachusetts Institute of Technology 99
D12Nds1	DNA segment, Chr 12, Nuffield Department of Surgery 1
D12Nyu1	DNA segment, Chr 12, NYU 1
D12Nyu2	DNA segment, Chr 12, NYU 2
D12Nyu3	DNA segment, Chr 12, NYU 3
D12Nyu4	DNA segment, Chr 12, NYU 4
D12Nyu5	DNA segment, Chr 12, NYU 5
D12Pgn1	DNA segment, Chr 12, Paigen 1
D12Pgn2	DNA segment, Chr 12, Paigen 2
D12Pgn3	DNA segment, Chr 12, Paigen 3
D12Pgn4	DNA segment, Chr 12, Paigen 4
D12Pgn5	DNA segment, Chr 12, Paigen 5
D12Pgn6	DNA segment, Chr 12, Paigen 6
D12Pgn7	DNA segment, Chr 12, Paigen 7
D12Sut1e	DNA segment, Chr 12, Sutcliffe 1 expressed
D12Sut2e	DNA segment, Chr 12, Sutcliffe 2, expressed
D12Wsu1e	DNA segment, Chr 12, Wayne State University-1, expressed
D130004A15Rik	RIKEN cDNA D130004A15 gene
D130007C19Rik	RIKEN cDNA D130007C19 gene
D130009B15Rik	RIKEN cDNA D130009B15 gene
D130009I18Rik	RIKEN cDNA D130009I18 gene
D130011O08Rik	RIKEN cDNA D130011O08 gene
D130012G24Rik	RIKEN cDNA D130012G24 gene
D130012P04Rik	RIKEN cDNA D130012P04 gene
D130017N08Rik	RIKEN cDNA D130017N08 gene
D130019J16Rik	RIKEN cDNA D130019J16 gene
D130020G16Rik	RIKEN cDNA D130020G16 gene
D130020L05Rik	RIKEN cDNA D130020L05 gene
D130037M23Rik	RIKEN cDNA D130037M23 gene
D130039L10Rik	RIKEN cDNA D130039L10 gene
D130040H23Rik	RIKEN cDNA D130040H23 gene
D130043K22Rik	RIKEN cDNA D130043K22 gene
D130046C19Rik	RIKEN cDNA D130046C19 gene
D130047N11Rik	RIKEN cDNA D130047N11 gene
D130050E23Rik	RIKEN cDNA D130050E23 gene
D130051D11Rik	RIKEN cDNA D130051D11 gene
D130052B06Rik	RIKEN cDNA D130052B06 gene
D130052P04Rik	RIKEN cDNA D130052P04 gene
D130056L21Rik	RIKEN cDNA D130056L21 gene
D130060J02Rik	RIKEN cDNA D130060J02 gene
D130060J10Rik	RIKEN cDNA D130060J10 gene
D130061D10Rik	RIKEN cDNA D130061D10 gene
D130062J10Rik	RIKEN cDNA D130062J10 gene
D130062J21Rik	RIKEN cDNA D130062J21 gene
D130067C23Rik	RIKEN cDNA D130067C23 gene
D130067P18Rik	RIKEN cDNA D130067P18 gene
D130076A03Rik	RIKEN cDNA D130076A03 gene
D130076G13Rik	RIKEN cDNA D130076G13 gene
D130079A08Rik	RIKEN cDNA D130079A08 gene
D130084N16Rik	RIKEN cDNA D130084N16 gene
D130095D21Rik	RIKEN cDNA D130095D21 gene
D13Abb2e	DNA segment, Chr 13, Abbott 2 expressed
D13Byu5	DNA segment, Chr 13, Brigham Young University 5
D13Die24	DNA segment, Chr 13, Dietrich 24
D13Die25	DNA segment, Chr 13, Dietrich 25
D13Die26	DNA segment, Chr 13, Dietrich 26
D13Die27	DNA segment, Chr 13, Dietrich 27
D13Die28	DNA segment, Chr 13, Dietrich 28
D13Die38	DNA segment, Chr 13, Dietrich 38
D13Die39	DNA segment, Chr 13, Dietrich 39
D13Die40	DNA segment, Chr 13, Dietrich 40
D13Die41	DNA segment, Chr 13, Dietrich 41
D13Die42	DNA segment, Chr 13, Dietrich 42
D13Die43	DNA segment, Chr 13, Dietrich 43
D13Die44	DNA segment, Chr 13, Dietrich 44
D13Die45	DNA segment, Chr 13, Dietrich 45
D13Die46	DNA segment, Chr 13, Dietrich 46
D13Ertd104e	DNA segment, Chr 13, ERATO Doi 104, expressed
D13Ertd150e	DNA segment, Chr 13, ERATO Doi 150, expressed
D13Ertd205e	DNA segment, Chr 13, ERATO Doi 205, expressed
D13Ertd212e	DNA segment, Chr 13, ERATO Doi 212, expressed
D13Ertd219e	DNA segment, Chr 13, ERATO Doi 219, expressed
D13Ertd224e	DNA segment, Chr 13, ERATO Doi 224, expressed
D13Ertd297e	DNA segment, Chr 13, ERATO Doi 297, expressed
D13Ertd311e	DNA segment, Chr 13, ERATO Doi 311, expressed
D13Ertd324e	DNA segment, Chr 13, ERATO Doi 324, expressed
D13Ertd332e	DNA segment, Chr 13, ERATO Doi 332, expressed
D13Ertd376e	DNA segment, Chr 13, ERATO Doi 376, expressed
D13Ertd37e	DNA segment, Chr 13, ERATO Doi 37, expressed
D13Ertd42e	DNA segment, Chr 13, ERATO Doi 42, expressed
D13Ertd463e	DNA segment, Chr 13, ERATO Doi 463, expressed
D13Ertd476e	DNA segment, Chr 13, ERATO Doi 476, expressed
D13Ertd570e	DNA segment, Chr 13, ERATO Doi 570, expressed
D13Ertd608e	DNA segment, Chr 13, ERATO Doi 608, expressed
D13Ertd666e	DNA segment, Chr 13, ERATO Doi 666, expressed
D13Ertd776e	DNA segment, Chr 13, ERATO Doi 776, expressed
D13Ertd787e	DNA segment, Chr 13, ERATO Doi 787, expressed
D13Ertd94e	DNA segment, Chr 13, ERATO Doi 94, expressed
D13Hrb1	DNA segment, Chr 13, Harbers 1
D13Jde1	DNA segment, Chr 13, Jan Deussing 1
D13Jde10	DNA segment, Chr 13, Jan Deussing 10
D13Jde11	DNA segment, Chr 13, Jan Deussing 11
D13Jde12	DNA segment, Chr 13, Jan Deussing 12
D13Jde13	DNA segment, Chr 13, Jan Deussing 13
D13Jde2	DNA segment, Chr 13, Jan Deussing 2
D13Jde3	DNA segment, Chr 13, Jan Deussing 3
D13Jde4	DNA segment, Chr 13, Jan Deussing 4
D13Jde5	DNA segment, Chr 13, Jan Deussing 5
D13Jde6	DNA segment, Chr 13, Jan Deussing 6
D13Jde7	DNA segment, Chr 13, Jan Deussing 7
D13Jde8	DNA segment, Chr 13, Jan Deussing 8
D13Jde9	DNA segment, Chr 13, Jan Deussing 9
D13Mc1	DNA segment, Chr 13, McClelland 1
D13Mgi24	DNA Segment, Chr 13, Mouse Genome Informatics 24
D13Mit1	DNA segment, Chr 13, Massachusetts Institute of Technology 1
D13Mit1000	DNA segment, Chr 13, Massachusetts Institute of Technology 1000
D13Mit1004	DNA segment, Chr 13, Massachusetts Institute of Technology 1004
D13Mit102	DNA segment, Chr 13, Massachusetts Institute of Technology 102
D13Mit103	DNA segment, Chr 13, Massachusetts Institute of Technology 103
D13Mit104	DNA segment, Chr 13, Massachusetts Institute of Technology 104
D13Mit106	DNA segment, Chr 13, Massachusetts Institute of Technology 106
D13Mit108	DNA segment, Chr 13, Massachusetts Institute of Technology 108
D13Mit110	DNA segment, Chr 13, Massachusetts Institute of Technology 110
D13Mit111	DNA segment, Chr 13, Massachusetts Institute of Technology 111
D13Mit114	DNA segment, Chr 13, Massachusetts Institute of Technology 114
D13Mit115	DNA segment, Chr 13, Massachusetts Institute of Technology 115
D13Mit117	DNA segment, Chr 13, Massachusetts Institute of Technology 117
D13Mit125	DNA segment, Chr 13, Massachusetts Institute of Technology 125
D13Mit126	DNA segment, Chr 13, Massachusetts Institute of Technology 126
D13Mit128	DNA segment, Chr 13, Massachusetts Institute of Technology 128
D13Mit129	DNA segment, Chr 13, Massachusetts Institute of Technology 129
D13Mit13	DNA segment, Chr 13, Massachusetts Institute of Technology 13
D13Mit130	DNA segment, Chr 13, Massachusetts Institute of Technology 130
D13Mit131	DNA segment, Chr 13, Massachusetts Institute of Technology 131
D13Mit134	DNA segment, Chr 13, Massachusetts Institute of Technology 134
D13Mit136	DNA segment, Chr 13, Massachusetts Institute of Technology 136
D13Mit137	DNA segment, Chr 13, Massachusetts Institute of Technology 137
D13Mit139	DNA segment, Chr 13, Massachusetts Institute of Technology 139
D13Mit140	DNA segment, Chr 13, Massachusetts Institute of Technology 140
D13Mit141	DNA segment, Chr 13, Massachusetts Institute of Technology 141
D13Mit144	DNA segment, Chr 13, Massachusetts Institute of Technology 144
D13Mit148	DNA segment, Chr 13, Massachusetts Institute of Technology 148
D13Mit149	DNA segment, Chr 13, Massachusetts Institute of Technology 149
D13Mit157	DNA segment, Chr 13, Massachusetts Institute of Technology 157
D13Mit158	DNA segment, Chr 13, Massachusetts Institute of Technology 158
D13Mit159	DNA segment, Chr 13, Massachusetts Institute of Technology 159
D13Mit16	DNA segment, Chr 13, Massachusetts Institute of Technology 16
D13Mit160	DNA segment, Chr 13, Massachusetts Institute of Technology 160
D13Mit161	DNA segment, Chr 13, Massachusetts Institute of Technology 161
D13Mit163	DNA segment, Chr 13, Massachusetts Institute of Technology 163
D13Mit166	DNA segment, Chr 13, Massachusetts Institute of Technology 166
D13Mit169	DNA segment, Chr 13, Massachusetts Institute of Technology 169
D13Mit17	DNA segment, Chr 13, Massachusetts Institute of Technology 17
D13Mit170	DNA segment, Chr 13, Massachusetts Institute of Technology 170
D13Mit173	DNA segment, Chr 13, Massachusetts Institute of Technology 173
D13Mit18	DNA segment, Chr 13, Massachusetts Institute of Technology 18
D13Mit181	DNA segment, Chr 13, Massachusetts Institute of Technology 181
D13Mit185	DNA segment, Chr 13, Massachusetts Institute of Technology 185
D13Mit196	DNA segment, Chr 13, Massachusetts Institute of Technology 196
D13Mit199	DNA segment, Chr 13, Massachusetts Institute of Technology 199
D13Mit202	DNA segment, Chr 13, Massachusetts Institute of Technology 202
D13Mit203	DNA segment, Chr 13, Massachusetts Institute of Technology 203
D13Mit204	DNA segment, Chr 13, Massachusetts Institute of Technology 204
D13Mit205	DNA segment, Chr 13, Massachusetts Institute of Technology 205
D13Mit206	DNA segment, Chr 13, Massachusetts Institute of Technology 206
D13Mit213	DNA segment, Chr 13, Massachusetts Institute of Technology 213
D13Mit214	DNA segment, Chr 13, Massachusetts Institute of Technology 214
D13Mit215	DNA segment, Chr 13, Massachusetts Institute of Technology 215
D13Mit216	DNA segment, Chr 13, Massachusetts Institute of Technology 216
D13Mit226	DNA segment, Chr 13, Massachusetts Institute of Technology 226
D13Mit230	DNA segment, Chr 13, Massachusetts Institute of Technology 230
D13Mit231	DNA segment, Chr 13, Massachusetts Institute of Technology 231
D13Mit232	DNA segment, Chr 13, Massachusetts Institute of Technology 232
D13Mit233	DNA segment, Chr 13, Massachusetts Institute of Technology 233
D13Mit234	DNA segment, Chr 13, Massachusetts Institute of Technology 234
D13Mit235	DNA segment, Chr 13, Massachusetts Institute of Technology 235
D13Mit243	DNA segment, Chr 13, Massachusetts Institute of Technology 243
D13Mit244	DNA segment, Chr 13, Massachusetts Institute of Technology 244
D13Mit247	DNA segment, Chr 13, Massachusetts Institute of Technology 247
D13Mit249	DNA segment, Chr 13, Massachusetts Institute of Technology 249
D13Mit250	DNA segment, Chr 13, Massachusetts Institute of Technology 250
D13Mit260	DNA segment, Chr 13, Massachusetts Institute of Technology 260
D13Mit261	DNA segment, Chr 13, Massachusetts Institute of Technology 261
D13Mit262	DNA segment, Chr 13, Massachusetts Institute of Technology 262
D13Mit264	DNA segment, Chr 13, Massachusetts Institute of Technology 264
D13Mit265	DNA segment, Chr 13, Massachusetts Institute of Technology 265
D13Mit266	DNA segment, Chr 13, Massachusetts Institute of Technology 266
D13Mit267	DNA segment, Chr 13, Massachusetts Institute of Technology 267
D13Mit269	DNA segment, Chr 13, Massachusetts Institute of Technology 269
D13Mit270	DNA segment, Chr 13, Massachusetts Institute of Technology 270
D13Mit278	DNA Segment, Chr 13, Massachusetts Institute of Technology 278
D13Mit291	DNA Segment, Chr 13, Massachusetts Institute of Technology 291
D13Mit292	DNA Segment, Chr 13, Massachusetts Institute of Technology 292
D13Mit293	DNA Segment, Chr 13, Massachusetts Institute of Technology 293
D13Mit300	DNA Segment, Chr 13 Massachusetts Institute of Technology 300
D13Mit302	DNA Segment, Chr 13 Massachusetts Institute of Technology 302
D13Mit306	DNA Segment, Chr 13 Massachusetts Institute of Technology 306
D13Mit307	DNA Segment, Chr 13 Massachusetts Institute of Technology 307
D13Mit308	DNA Segment, Chr 13 Massachusetts Institute of Technology 308
D13Mit31	DNA segment, Chr 13, Massachusetts Institute of Technology 31
D13Mit313	DNA Segment, Chr 13 Massachusetts Institute of Technology 313
D13Mit32	DNA segment, Chr 13, Massachusetts Institute of Technology 32
D13Mit35	DNA segment, Chr 13, Massachusetts Institute of Technology 35
D13Mit38	DNA segment, Chr 13, Massachusetts Institute of Technology 38
D13Mit47	DNA segment, Chr 13, Massachusetts Institute of Technology 47
D13Mit52	DNA segment, Chr 13, Massachusetts Institute of Technology 52
D13Mit54	DNA segment, Chr 13, Massachusetts Institute of Technology 54
D13Mit55	DNA segment, Chr 13, Massachusetts Institute of Technology 55
D13Mit61	DNA segment, Chr 13, Massachusetts Institute of Technology 61
D13Mit63	DNA segment, Chr 13, Massachusetts Institute of Technology 63
D13Mit65	DNA segment, Chr 13, Massachusetts Institute of Technology 65
D13Mit66	DNA segment, Chr 13, Massachusetts Institute of Technology 66
D13Mit69	DNA segment, Chr 13, Massachusetts Institute of Technology 69
D13Mit7	DNA segment, Chr 13, Massachusetts Institute of Technology 7
D13Mit70	DNA segment, Chr 13, Massachusetts Institute of Technology 70
D13Mit71	DNA segment, Chr 13, Massachusetts Institute of Technology 71
D13Mit72	DNA segment, Chr 13, Massachusetts Institute of Technology 72
D13Mit76	DNA segment, Chr 13, Massachusetts Institute of Technology 76
D13Mit78	DNA segment, Chr 13, Massachusetts Institute of Technology 78
D13Mit79	DNA segment, Chr 13, Massachusetts Institute of Technology 79
D13Mit80	DNA segment, Chr 13, Massachusetts Institute of Technology 80
D13Mit82	DNA segment, Chr 13, Massachusetts Institute of Technology 82
D13Mit83	DNA segment, Chr 13, Massachusetts Institute of Technology 83
D13Mit85	DNA segment, Chr 13, Massachusetts Institute of Technology 85
D13Mit86	DNA segment, Chr 13, Massachusetts Institute of Technology 86
D13Mit87	DNA segment, Chr 13, Massachusetts Institute of Technology 87
D13Mit89	DNA segment, Chr 13, Massachusetts Institute of Technology 89
D13Mit90	DNA segment, Chr 13, Massachusetts Institute of Technology 90
D13Mit91	DNA segment, Chr 13, Massachusetts Institute of Technology 91
D13Mit94	DNA segment, Chr 13, Massachusetts Institute of Technology 94
D13Mit95	DNA segment, Chr 13, Massachusetts Institute of Technology 95
D13Mit99	DNA segment, Chr 13, Massachusetts Institute of Technology 99
D13Nds1	DNA segment, Chr 13, Nuffield Department of Surgery 1
D13Rp3	DNA segment, Chr 13, Roswell Park 3
D13Rp4	DNA segment, Chr 13, Roswell Park 4
D13Sut1e	DNA segment, Chr 13, Sutcliffe 1 expressed
D13Uth6e	DNA segment, Chr 13, University of Utah, expressed 6
D13Uth7e	DNA segment, Chr 13, University of Utah, expressed 7
D13Uth8e	DNA segment, Chr 13, University of Utah, expressed 8
D13Uth9e	DNA segment, Chr 13, University of Utah, expressed 9
D13Wsu121e	DNA segment, Chr 13, Wayne State University 121, expressed
D13Wsu1e	DNA segment, Chr 13, Wayne State University-1, expressed
D14Abb2e	DNA segment, Chr 14, Abbott 2 expressed
D14Bur1e	DNA segment, Chr 14, Burmeister 1, expressed
D14Ertd16e	DNA segment, Chr 14, ERATO Doi 16, expressed
D14Ertd170e	DNA segment, Chr 14, ERATO Doi 170, expressed
D14Ertd24e	DNA segment, Chr 14, ERATO Doi 24, expressed
D14Ertd275e	DNA segment, Chr 14, ERATO Doi 275, expressed
D14Ertd426e	DNA segment, Chr 14, ERATO Doi 426, expressed
D14Ertd528e	DNA segment, Chr 14, ERATO Doi 528, expressed
D14Ertd574e	DNA segment, Chr 14, ERATO Doi 574, expressed
D14Ertd611e	DNA segment, Chr 14, ERATO Doi 611, expressed
D14Ertd670e	DNA segment, Chr 14, ERATO Doi 670, expressed
D14Ertd723e	DNA segment, Chr 14, ERATO Doi 723, expressed
D14Ertd725e	DNA segment, Chr 14, ERATO Doi 725, expressed
D14Gi1e	DNA segment, Chr 14, Genetics Institute, Inc. 1, expressed
D14Jor1	DNA segment, Chr 14, Barbara Jordan 1
D14Jor2	DNA segment, Chr 14, Barbara Jordan 2
D14Jor3	DNA segment, Chr 14, Barbara Jordan 3
D14Mc1	DNA segment, Chr 14, McClelland 1
D14Mgi10	DNA Segment, Chr 14, Mouse Genome Informatics 10
D14Mgi24	DNA Segment, Chr 14, Mouse Genome Informatics 24
D14Mit101	DNA segment, Chr 14, Massachusetts Institute of Technology 101
D14Mit104	DNA segment, Chr 14, Massachusetts Institute of Technology 104
D14Mit105	DNA segment, Chr 14, Massachusetts Institute of Technology 105
D14Mit106	DNA segment, Chr 14, Massachusetts Institute of Technology 106
D14Mit11	DNA segment, Chr 14, Massachusetts Institute of Technology 11
D14Mit110	DNA segment, Chr 14, Massachusetts Institute of Technology 110
D14Mit112	DNA segment, Chr 14, Massachusetts Institute of Technology 112
D14Mit113	DNA segment, Chr 14, Massachusetts Institute of Technology 113
D14Mit116	DNA segment, Chr 14, Massachusetts Institute of Technology 116
D14Mit118	DNA segment, Chr 14, Massachusetts Institute of Technology 118
D14Mit121	DNA segment, Chr 14, Massachusetts Institute of Technology 121
D14Mit123	DNA segment, Chr 14, Massachusetts Institute of Technology 123
D14Mit124	DNA segment, Chr 14, Massachusetts Institute of Technology 124
D14Mit126	DNA segment, Chr 14, Massachusetts Institute of Technology 126
D14Mit130	DNA segment, Chr 14, Massachusetts Institute of Technology 130
D14Mit131	DNA segment, Chr 14, Massachusetts Institute of Technology 131
D14Mit132	DNA segment, Chr 14, Massachusetts Institute of Technology 132
D14Mit136	DNA segment, Chr 14, Massachusetts Institute of Technology 136
D14Mit137	DNA segment, Chr 14, Massachusetts Institute of Technology 137
D14Mit138	DNA segment, Chr 14, Massachusetts Institute of Technology 138
D14Mit141	DNA segment, Chr 14, Massachusetts Institute of Technology 141
D14Mit142	DNA segment, Chr 14, Massachusetts Institute of Technology 142
D14Mit144	DNA segment, Chr 14, Massachusetts Institute of Technology 144
D14Mit15	DNA segment, Chr 14, Massachusetts Institute of Technology 15
D14Mit153	DNA segment, Chr 14, Massachusetts Institute of Technology 153
D14Mit154	DNA segment, Chr 14, Massachusetts Institute of Technology 154
D14Mit155	DNA segment, Chr 14, Massachusetts Institute of Technology 155
D14Mit156	DNA segment, Chr 14, Massachusetts Institute of Technology 156
D14Mit157	DNA segment, Chr 14, Massachusetts Institute of Technology 157
D14Mit159	DNA segment, Chr 14, Massachusetts Institute of Technology 159
D14Mit160	DNA segment, Chr 14, Massachusetts Institute of Technology 160
D14Mit163	DNA segment, Chr 14, Massachusetts Institute of Technology 163
D14Mit164	DNA segment, Chr 14, Massachusetts Institute of Technology 164
D14Mit165	DNA segment, Chr 14, Massachusetts Institute of Technology 165
D14Mit166	DNA segment, Chr 14, Massachusetts Institute of Technology 166
D14Mit171	DNA segment, Chr 14, Massachusetts Institute of Technology 171
D14Mit173	DNA segment, Chr 14, Massachusetts Institute of Technology 173
D14Mit174	DNA segment, Chr 14, Massachusetts Institute of Technology 174
D14Mit176	DNA segment, Chr 14, Massachusetts Institute of Technology 176
D14Mit179	DNA segment, Chr 14, Massachusetts Institute of Technology 179
D14Mit180	DNA segment, Chr 14, Massachusetts Institute of Technology 180
D14Mit189	DNA segment, Chr 14, Massachusetts Institute of Technology 189
D14Mit192	DNA segment, Chr 14, Massachusetts Institute of Technology 192
D14Mit193	DNA segment, Chr 14, Massachusetts Institute of Technology 193
D14Mit197	DNA segment, Chr 14, Massachusetts Institute of Technology 197
D14Mit199	DNA segment, Chr 14, Massachusetts Institute of Technology 199
D14Mit200	DNA segment, Chr 14, Massachusetts Institute of Technology 200
D14Mit202	DNA segment, Chr 14, Massachusetts Institute of Technology 202
D14Mit203	DNA segment, Chr 14, Massachusetts Institute of Technology 203
D14Mit204	DNA segment, Chr 14, Massachusetts Institute of Technology 204
D14Mit207	DNA segment, Chr 14, Massachusetts Institute of Technology 207
D14Mit209	DNA segment, Chr 14, Massachusetts Institute of Technology 209
D14Mit210	DNA segment, Chr 14, Massachusetts Institute of Technology 210
D14Mit212	DNA segment, Chr 14, Massachusetts Institute of Technology 212
D14Mit214	DNA segment, Chr 14, Massachusetts Institute of Technology 214
D14Mit215	DNA segment, Chr 14, Massachusetts Institute of Technology 215
D14Mit217	DNA segment, Chr 14, Massachusetts Institute of Technology 217
D14Mit219	DNA segment, Chr 14, Massachusetts Institute of Technology 219
D14Mit221	DNA segment, Chr 14, Massachusetts Institute of Technology 221
D14Mit222	DNA segment, Chr 14, Massachusetts Institute of Technology 222
D14Mit224	DNA segment, Chr 14, Massachusetts Institute of Technology 224
D14Mit225	DNA segment, Chr 14, Massachusetts Institute of Technology 225
D14Mit228	DNA segment, Chr 14, Massachusetts Institute of Technology 228
D14Mit234	DNA Segment, Chr 14, Massachusetts Institute of Technology 234
D14Mit236	DNA Segment, Chr 14, Massachusetts Institute of Technology 236
D14Mit238	DNA Segment, Chr 14, Massachusetts Institute of Technology 238
D14Mit239a	DNA Segment, Chr 14, Massachusetts Institute of Technology 239a
D14Mit251	DNA Segment, Chr 14 Massachusetts Institute of Technology 251
D14Mit252	DNA Segment, Chr 14 Massachusetts Institute of Technology 252
D14Mit253	DNA Segment, Chr 14 Massachusetts Institute of Technology 253
D14Mit254	DNA Segment, Chr 14 Massachusetts Institute of Technology 254
D14Mit257	DNA Segment, Chr 14 Massachusetts Institute of Technology 257
D14Mit259	DNA Segment, Chr 14 Massachusetts Institute of Technology 259
D14Mit261	DNA Segment, Chr 14 Massachusetts Institute of Technology 261
D14Mit262	DNA Segment, Chr 14 Massachusetts Institute of Technology 262
D14Mit265	DNA Segment, Chr 14 Massachusetts Institute of Technology 265
D14Mit266	DNA Segment, Chr 14 Massachusetts Institute of Technology 266
D14Mit267	DNA Segment, Chr 14 Massachusetts Institute of Technology 267
D14Mit268	DNA Segment, Chr 14, Massachusetts Institute of Technology 268
D14Mit31	DNA segment, Chr 14, Massachusetts Institute of Technology 31
D14Mit35	DNA segment, Chr 14, Massachusetts Institute of Technology 35
D14Mit37	DNA segment, Chr 14, Massachusetts Institute of Technology 37
D14Mit38	DNA segment, Chr 14, Massachusetts Institute of Technology 38
D14Mit39	DNA segment, Chr 14, Massachusetts Institute of Technology 39
D14Mit4	DNA segment, Chr 14, Massachusetts Institute of Technology 4
D14Mit45	DNA segment, Chr 14, Massachusetts Institute of Technology 45
D14Mit51	DNA segment, Chr 14, Massachusetts Institute of Technology 51
D14Mit53	DNA segment, Chr 14, Massachusetts Institute of Technology 53
D14Mit56	DNA segment, Chr 14, Massachusetts Institute of Technology 56
D14Mit59	DNA segment, Chr 14, Massachusetts Institute of Technology 59
D14Mit60	DNA segment, Chr 14, Massachusetts Institute of Technology 60
D14Mit61	DNA segment, Chr 14, Massachusetts Institute of Technology 61
D14Mit62	DNA segment, Chr 14, Massachusetts Institute of Technology 62
D14Mit63	DNA segment, Chr 14, Massachusetts Institute of Technology 63
D14Mit64	DNA segment, Chr 14, Massachusetts Institute of Technology 64
D14Mit65	DNA segment, Chr 14, Massachusetts Institute of Technology 65
D14Mit66	DNA segment, Chr 14, Massachusetts Institute of Technology 66
D14Mit67	DNA segment, Chr 14, Massachusetts Institute of Technology 67
D14Mit71	DNA segment, Chr 14, Massachusetts Institute of Technology 71
D14Mit74	DNA segment, Chr 14, Massachusetts Institute of Technology 74
D14Mit77	DNA segment, Chr 14, Massachusetts Institute of Technology 77
D14Mit79	DNA segment, Chr 14, Massachusetts Institute of Technology 79
D14Mit83	DNA segment, Chr 14, Massachusetts Institute of Technology 83
D14Mit91	DNA segment, Chr 14, Massachusetts Institute of Technology 91
D14Mit92	DNA segment, Chr 14, Massachusetts Institute of Technology 92
D14Mit94	DNA segment, Chr 14, Massachusetts Institute of Technology 94
